"t(s)","a(m/s²)"
6.483914667E0,-1.085273163E1
6.493884667E0,-1.065274750E1
6.503854667E0,-1.043465103E1
6.513824667E0,-1.054856415E1
6.523794667E0,-1.055694672E1
6.533764667E0,-1.045455963E1
6.543734667E0,-1.019215530E1
6.553704667E0,-1.049018555E1
6.563673667E0,-1.077998291E1
6.573643667E0,-1.047072601E1
6.583613667E0,-1.011252090E1
6.593583667E0,-9.379495239E0
6.603553667E0,-8.830586700E0
6.613523667E0,-8.303233337E0
6.623493667E0,-7.497458954E0
6.633463667E0,-6.894961853E0
6.643433667E0,-6.850354614E0
6.653403667E0,-6.938072205E0
6.663373667E0,-6.990612946E0
6.673343667E0,-7.085964661E0
6.683313667E0,-7.036417694E0
6.693283667E0,-6.894063721E0
6.703253667E0,-6.712341614E0
6.713223667E0,-6.529871063E0
6.723192667E0,-6.303092651E0
6.733162667E0,-6.233637085E0
6.743132667E0,-6.350543976E0
6.753102667E0,-6.473288727E0
6.763072667E0,-6.526128845E0
6.773042667E0,-6.611601105E0
6.783012667E0,-6.755152588E0
6.792982667E0,-6.950945435E0
6.802952667E0,-7.057074738E0
6.812922667E0,-7.074588318E0
6.822892667E0,-7.028783569E0
6.832863167E0,-6.955885162E0
6.842833167E0,-6.699618073E0
6.852803167E0,-6.367907867E0
6.862773167E0,-6.141279144E0
6.872743167E0,-5.937403107E0
6.882712167E0,-5.779481506E0
6.892682167E0,-5.700595551E0
6.902652167E0,-5.736969910E0
6.912622167E0,-5.821244659E0
6.922592167E0,-5.926924896E0
6.932562167E0,-6.049969025E0
6.942532167E0,-6.124514008E0
6.952502167E0,-6.194268951E0
6.962472167E0,-6.250551910E0
6.972442167E0,-6.459517365E0
6.982412167E0,-6.808441772E0
6.992382167E0,-7.261100464E0
7.002352167E0,-7.853867798E0
7.012322167E0,-8.468489685E0
7.022292167E0,-9.040150909E0
7.032262167E0,-9.504934387E0
7.042231167E0,-9.792187042E0
7.052201167E0,-9.974807281E0
7.062171167E0,-1.023376877E1
7.072141167E0,-1.042492126E1
7.082111167E0,-1.031385223E1
7.092081167E0,-1.016865417E1
7.102051167E0,-1.015892441E1
7.112021167E0,-1.027313690E1
7.121991167E0,-1.035127441E1
7.131961167E0,-1.058598633E1
7.141931167E0,-1.097083603E1
7.151901167E0,-1.113878677E1
7.161871167E0,-1.115854568E1
7.171841167E0,-1.118189713E1
7.181811167E0,-1.069226532E1
7.191780167E0,-9.629325714E0
7.201750167E0,-8.566236420E0
7.211720167E0,-7.933651886E0
7.221690167E0,-7.982300720E0
7.231660167E0,-8.611592102E0
7.241630167E0,-9.268575897E0
7.251600167E0,-9.678423615E0
7.261570167E0,-9.907896423E0
7.271540167E0,-9.897118835E0
7.281510167E0,-9.671987000E0
7.291480167E0,-9.145681458E0
7.301450167E0,-8.592731323E0
7.311420167E0,-8.185727692E0
7.321390167E0,-7.882458344E0
7.331360167E0,-7.871830444E0
7.341329167E0,-8.117769012E0
7.351299167E0,-7.964038696E0
7.361269167E0,-7.608228607E0
7.371239167E0,-7.247778168E0
7.381209167E0,-6.876849518E0
7.391179167E0,-6.400989075E0
7.401149167E0,-5.896538086E0
7.411119167E0,-5.435347137E0
7.421089167E0,-5.038971405E0
7.431059167E0,-4.666695557E0
7.441029167E0,-4.417314148E0
7.450999167E0,-4.308340759E0
7.460969167E0,-4.349954224E0
7.470939167E0,-4.425996094E0
7.480909167E0,-4.586462402E0
7.490878167E0,-4.807852020E0
7.500848167E0,-5.026696930E0
7.510818167E0,-5.094954987E0
7.520788167E0,-5.189258881E0
7.530758167E0,-5.306016083E0
7.540728167E0,-5.259462891E0
7.550698167E0,-5.198090515E0
7.560668167E0,-5.339097290E0
7.570638167E0,-5.501060486E0
7.580608167E0,-5.610333252E0
7.590578167E0,-5.776188354E0
7.600548167E0,-6.051316223E0
7.610518167E0,-6.164630585E0
7.620488167E0,-6.276148682E0
7.630458167E0,-6.656058655E0
7.640427167E0,-7.488477631E0
7.650397167E0,-8.254434814E0
7.660367167E0,-8.824000397E0
7.670337167E0,-9.423054657E0
7.680307167E0,-1.003079086E1
7.690277167E0,-1.052012329E1
7.700247167E0,-1.075408676E1
7.710217167E0,-1.086590424E1
7.720187167E0,-1.098101486E1
7.730157167E0,-1.107052872E1
7.740127167E0,-1.112217133E1
7.750097167E0,-1.074211166E1
7.760067167E0,-1.025876678E1
7.770036167E0,-1.007779312E1
7.780006167E0,-9.879156189E0
7.789976167E0,-9.327852631E0
7.799946167E0,-8.660989380E0
7.809916167E0,-8.163873138E0
7.819886167E0,-7.959847412E0
7.829856167E0,-8.070317688E0
7.839822958E0,-8.303981781E0
7.849792958E0,-8.403674469E0
